system:index,BAMod_bool,BAMod_class,BAS3_bool,BAS3_class,FinalBurn_class,Landsat_bool,Landsat_class,TM_bool,TM_class,comb,issubset_BAMod,issubset_BAS3,issubset_Landsat,issubset_TM,lat,lon,sampleID
1_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000673,1,2,0,0,2,1,2,1,2,2,1,1,1,1,66.75086103,151.5902572,2843
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000f1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.75502583,136.7494726,3103
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000f2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.75578834,149.7284666,618
1_1_1_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000541,0,0,1,1,1,1,1,1,1,3,0,1,1,1,66.75588644,138.0408105,73
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000f3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.75597562,146.2926401,2029
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000f4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.75699675,146.3942095,1915
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000674,1,2,1,2,2,1,2,1,2,1,1,1,1,1,66.75701459,136.6428243,263
1_1_1_1_1_1_1_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000064e,1,2,1,2,2,0,0,1,2,5,1,1,1,1,66.7574605,143.0037676,1699
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000f5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.7577771,138.3367342,1857
1_1_1_1_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000012,0,0,1,1,1,1,1,1,1,3,1,1,1,1,66.7583434,147.2319452,52
1_1_1_1_1_1_1_2_2_1_1_1_2_00000000000000000507,1,2,1,2,0,0,0,0,0,13,1,1,1,0,66.75839691,150.9958947,654
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000f6,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.75968113,105.6765569,2454
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000f7,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.76210688,131.6767948,3268
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000f8,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.76476451,150.3468815,2581
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000f9,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.76492503,151.31254,483
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000676,1,2,1,2,2,1,2,1,2,1,1,1,1,1,66.76609778,151.4796804,296
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000fa,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.76951345,132.8760834,830
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000fb,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.77175638,160.1219445,2746
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000fc,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.77219783,143.4217905,1684
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000fd,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.77349989,164.8802378,2661
1_1_2_1_1_2_1_1_2_1_1_2_2_000000000000000000fe,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.77625115,125.5692979,2385
1_1_2_1_1_2_1_1_2_1_1_2_2_00000000000000000539,0,0,0,0,1,0,0,0,0,0,1,1,1,1,66.77714297,140.9302411,558
1_1_1_2_1_2_1_2_1_2_0000000000000000053a,0,0,1,1,1,0,0,0,0,15,0,1,1,1,66.78101793,140.9479169,1023
